title:Meditation, start timestamp:1583521498.648371, stop timestamp:1583521564.628264, headset type:INSIGHT, headset serial:A1D2068CFA, headset firmware:930, subject name:Corey, channels:31, sampling rate:eeg_128;mot_64, samples:8464      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1583521498.648371,91.000000,0.000000,4289.743652,4274.871582,4068.205078,4063.076904,4181.025879,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521498.656069,92.000000,0.000000,4291.282227,4276.922852,4068.205078,4066.666748,4171.282227,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,46.000000,0.000000,0.656622,0.140625,0.671875,0.312500,0.812512,-0.593759,-0.062501,-76.563667,-76.563667,38.281834
1583521498.663965,93.000000,0.000000,4292.820313,4276.922852,4066.666748,4070.769287,4164.615234,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521498.671662,94.000000,0.000000,4296.922852,4281.025879,4073.333252,4068.205078,4177.948730,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,47.000000,0.000000,0.656622,0.140625,0.671875,0.312500,0.812512,-0.625010,-0.062501,-76.563667,-76.563667,38.281834
1583521498.679558,95.000000,0.000000,4303.589844,4281.025879,4081.538574,4075.897461,4192.820313,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521498.687255,96.000000,0.000000,4300.000000,4276.922852,4071.281982,4071.794922,4181.025879,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,48.000000,0.000000,0.656622,0.140625,0.671875,0.312500,0.843763,-0.625010,-0.062501,-76.563667,-76.563667,38.281834
1583521498.695151,97.000000,0.000000,4285.641113,4272.820313,4070.256348,4075.897461,4153.846191,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521498.702848,98.000000,0.000000,4286.666504,4283.077148,4080.512939,4079.487061,4162.563965,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,49.000000,0.000000,0.656622,0.140625,0.671875,0.312500,0.812512,-0.625010,-0.062501,-76.563667,-76.563667,38.281834
1583521498.710542,99.000000,0.000000,4286.666504,4285.128418,4080.512939,4086.153809,4178.974121,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521498.718240,100.000000,0.000000,4289.230957,4285.128418,4073.846191,4079.487061,4183.077148,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000,0.000000,0.656622,0.140625,0.671875,0.312500,0.843763,-0.625010,-0.062501,-76.563667,-76.563667,38.281834
